X;Y;Z;JOIN
1.4407192403448752;1.3482433898679598;10.0;1
4.273718464713273;-1.4244798187593193;3.552713678800501e-15;1
1.790450800431094;1.7055777373349497;10.0;2
4.257455946710289;-0.7089384284491318;0.0;2
3.6396626298782646;2.3449214287548585;10.0;3
4.244202841961241;-0.12580948148531945;2.4868995751603507e-14;3
4.125335652282928;2.4637562523896808;10.0;4
4.668324640829181;0.24458265383154298;0.0;4
4.611008674687591;2.582591076024503;10.0;5
5.1764608967242145;0.2716111687720755;7.105427357601002e-15;5
5.096681697092254;2.7014258996593252;10.0;6
5.684597152619249;0.29863968371260796;1.0658141036401503e-14;6
5.582354719496918;2.8202607232941475;10.0;7
6.192733408514283;0.32566819865314045;1.5987211554602254e-14;7
6.068027741901582;2.9390955469289697;10.0;8
6.700869664409319;0.3526967135936694;1.7763568394002505e-15;8
6.5528488938468525;2.8303916795883235;10.0;9
5.916363350859672;0.3109676687346905;3.552713678800501e-15;9
7.037618514907243;2.707923665409253;10.0;10
6.439096637571355;0.338772621217192;-1.0658141036401503e-14;10
7.522388135967635;2.5854556512301827;10.0;11
6.961829924283039;0.366577573699697;-1.5987211554602254e-14;11
8.007157757028025;2.462987637051113;10.0;12
7.4845632109947235;0.3943825261822056;-1.7763568394002505e-15;12
8.491927378088416;2.3405196228720424;10.0;13
8.007296497706408;0.4221874786647106;-7.105427357601002e-15;13
8.976696999148807;2.2180516086929725;10.0;14
8.455458346306287;0.15481357944696583;-1.7763568394002505e-14;14
9.461466620209197;2.095583594513902;10.0;15
8.807921297001773;-0.4913687685235786;-1.5987211554602254e-14;15
9.94623624126959;1.9731155803348317;10.0;16
9.16038424769726;-1.137551116494123;1.7763568394002505e-15;16
10.300229899702014;1.6944450071440382;10.0;17
7.413102413780922;0.3905814212566119;-5.329070518200751e-15;17
10.506023203231438;1.238759681263945;10.0;18
8.386360517751243;0.28149298506183706;7.105427357601002e-15;18
10.71181650676086;0.7830743553838517;10.0;19
8.626464222827092;-0.15869732599410336;0.0;19
10.917609810290283;0.3273890295037585;10.0;20
8.866567927902942;-0.598887637050046;-8.881784197001252e-15;20
11.123403113819705;-0.12829629637633477;10.0;21
9.106671632978795;-1.0390779481059873;7.105427357601002e-15;21
11.329196417349129;-0.5839816222564282;10.0;22
9.346775338054647;-1.4792682591619286;8.881784197001252e-15;22
11.534989720878553;-1.0396669481365213;10.0;23
9.586879043130496;-1.9194585702178708;1.7763568394002505e-15;23
11.085321511335934;-3.048107488664065;10.0;24
9.143127193897866;-1.105913171225998;-1.2434497875801753e-14;24
10.731768120742661;-3.401660879257339;10.0;25
9.320789633828799;-1.9906823923434764;-8.881784197001252e-15;25
10.378214730149386;-3.7552142698506126;10.0;26
8.721913461984016;-2.0989130016852426;1.7763568394002505e-15;26
9.026443445890221;-4.009378131232135;10.0;27
9.212069521482578;-2.0103306010385893;-7.105427357601002e-15;27
8.528585222910644;-3.9631483809449395;10.0;28
8.701347891950046;-2.102629670140047;-6.394884621840902e-14;28
8.030726999931066;-3.9169186306577437;10.0;29
8.190626262417512;-2.194928739241533;2.6645352591003757e-14;29
7.532868776951487;-3.870688880370548;10.0;30
7.679904632884979;-2.2872278083429904;-4.796163466380676e-14;30
7.035010553971908;-3.8244591300833517;10.0;31
7.169183003352445;-2.3795268774444622;-3.019806626980426e-14;31
6.53715233099233;-3.778229379796156;10.0;32
6.658461373819912;-2.471825946545934;-1.0658141036401503e-14;32
6.0392941080127525;-3.73199962950896;10.0;33
6.14773974428738;-2.5641250156473916;-1.1013412404281553e-13;33
5.541435885033174;-3.6857698792217644;10.0;34
5.660276888570633;-2.4059452972002617;-1.0658141036401503e-14;34
5.043577662053595;-3.639540128934568;10.0;35
5.181467857032481;-2.15457066636948;-5.329070518200751e-15;35
4.545719439074017;-3.5933103786473723;10.0;36
4.70265882549433;-1.9031960355386914;-4.263256414560601e-14;36
4.0478612160944385;-3.5470806283601766;10.0;37
4.268063678194038;-1.1756724811048755;4.440892098500626e-14;37
3.590299798405897;-3.355153320177347;10.0;38
4.370142041540009;-1.7286248008586877;7.105427357601002e-15;38
3.1394419164134226;-3.138988637018279;10.0;39
4.259586607267013;-0.8026862611499066;0.0;39
0.6612313630727534;-1.6296891118609529;10.0;40
4.245794986610861;-0.19586292560475305;1.7763568394002505e-15;40
